Name,d,MSE,MAE,MAPE,R2 Square,TRAIN MSE,TIME
Snap Star (shot wrmp),5,12.163±0.631,2.345,0.119,0.854,1.881,49.6
Snap Star (new wrmp),5,12.254±1.034,2.336,0.119,0.853,2.435,44.4
Snap Ensemble,5,13.595±1.103,2.486,0.130,0.837,3.577,40.4
Snap Star (shot wrmp),4,12.822±1.476,2.335,0.118,0.846,2.000,35.8
Snap Star (new wrmp),4,12.800±1.566,2.363,0.121,0.846,2.357,32.4
Snap Ensemble,4,14.290±1.289,2.497,0.130,0.828,3.576,29.4
Snap Star (shot wrmp),3,12.657±0.973,2.363,0.119,0.848,2.175,30.2
Snap Star (new wrmp),3,13.043±0.854,2.392,0.120,0.843,2.670,27.2
Snap Ensemble,3,14.202±0.512,2.491,0.129,0.829,3.345,25.4
Snap Star (shot wrmp),2,12.671±1.050,2.379,0.119,0.848,2.387,20.6
Snap Star (new wrmp),2,12.974±1.348,2.413,0.122,0.844,2.736,20.2
Snap Ensemble,2,13.896±0.471,2.505,0.130,0.833,3.593,18.4
Snap Star (shot wrmp),1,13.352±0.573,2.474,0.127,0.840,3.551,12.4
Snap Star (new wrmp),1,13.726±1.567,2.492,0.128,0.835,3.867,11.2
Snap Ensemble,1,14.347±1.297,2.520,0.130,0.828,3.879,10.8
