Name,d,MSE,MAE,MAPE,R2 Square,TRAIN MSE,TIME
Snap Star (shot wrmp),5,12.344±0.802,2.311,0.117,0.852,1.735,58.2
Snap Star (new wrmp),5,12.166±0.701,2.313,0.118,0.854,2.039,55.4
Snap Ensemble,5,13.930±0.715,2.454,0.127,0.833,3.226,49.2
Snap Star (shot wrmp),4,12.455±1.118,2.324,0.118,0.850,1.775,48.6
Snap Star (new wrmp),4,12.834±1.062,2.379,0.121,0.846,2.450,46.0
Snap Ensemble,4,14.015±1.066,2.489,0.131,0.832,3.324,41.0
Snap Star (shot wrmp),3,12.145±1.067,2.287,0.117,0.854,1.814,39.2
Snap Star (new wrmp),3,12.587±1.326,2.342,0.121,0.849,2.389,41.2
Snap Ensemble,3,13.906±0.500,2.476,0.130,0.833,3.430,33.4
Snap Star (shot wrmp),2,12.548±1.443,2.377,0.121,0.849,2.080,29.0
Snap Star (new wrmp),2,12.707±1.326,2.395,0.122,0.847,2.574,27.0
Snap Ensemble,2,14.028±1.515,2.531,0.134,0.832,3.680,23.8
Snap Star (shot wrmp),1,13.173±1.104,2.427,0.123,0.842,2.924,18.8
Snap Star (new wrmp),1,14.075±0.620,2.542,0.132,0.831,4.090,17.8
Snap Ensemble,1,13.936±0.343,2.510,0.131,0.833,3.527,16.6
