Name,d,epochs,MSE,MAE,MAPE,R2 Square,TRAIN MSE,TIME,p,lr
Snap Ensemble,5,200,13.80148,2.43758,0.12529,0.83425,3.02519,64,0.1,0.1
Snap Star (shot wrmp),5,200,12.18098,2.27384,0.11431,0.85371,1.80665,73,0.1,0.1
Snap Star (new wrmp),5,200,11.15688,2.21106,0.10941,0.86601,1.48672,71,0.1,0.1
Snap Ensemble,5,200,11.00478,2.2144,0.10885,0.86784,1.61511,67,0.0,0.1
Snap Star (shot wrmp),5,200,10.24423,2.20221,0.11088,0.87697,1.61315,75,0.0,0.1
Snap Star (new wrmp),5,200,9.73321,2.16713,0.10946,0.88311,1.327,73,0.0,0.1
Snap Ensemble,4,200,14.77152,2.50139,0.13195,0.8226,3.59582,49,0.1,0.1
Snap Star (shot wrmp),4,200,13.42529,2.35655,0.12048,0.83877,1.67661,58,0.1,0.1
Snap Star (new wrmp),4,200,14.28079,2.43069,0.12452,0.82849,2.59769,56,0.1,0.1
Snap Ensemble,4,200,10.6377,2.18303,0.11074,0.87224,1.29442,48,0.0,0.1
Snap Star (shot wrmp),4,200,10.33413,2.20975,0.11323,0.87589,1.31661,56,0.0,0.1
Snap Star (new wrmp),4,200,10.42367,2.18539,0.10906,0.87481,1.33999,53,0.0,0.1
Snap Ensemble,3,200,13.56965,2.48113,0.1314,0.83703,3.74929,44,0.1,0.1
Snap Star (shot wrmp),3,200,10.42858,2.17631,0.11292,0.87476,1.54008,50,0.1,0.1
Snap Star (new wrmp),3,200,11.12068,2.26066,0.1181,0.86644,2.34178,48,0.1,0.1
Snap Ensemble,3,200,12.53946,2.27834,0.11313,0.8494,1.39161,40,0.0,0.1
Snap Star (shot wrmp),3,200,12.30988,2.29591,0.1179,0.85216,1.34489,46,0.0,0.1
Snap Star (new wrmp),3,200,13.01504,2.33353,0.11473,0.84369,1.49783,44,0.0,0.1
Snap Ensemble,2,200,13.81146,2.48414,0.12711,0.83413,3.49137,31,0.1,0.1
Snap Star (shot wrmp),2,200,11.64121,2.31077,0.11936,0.86019,2.0035,39,0.1,0.1
Snap Star (new wrmp),2,200,11.67113,2.32314,0.11894,0.85983,2.43343,33,0.1,0.1
Snap Ensemble,2,200,11.01032,2.26169,0.11129,0.86777,1.69216,31,0.0,0.1
Snap Star (shot wrmp),2,200,10.98761,2.23332,0.10823,0.86804,1.60959,35,0.0,0.1
Snap Star (new wrmp),2,200,11.49221,2.32859,0.11776,0.86198,1.92269,32,0.0,0.1
Snap Ensemble,1,200,14.20841,2.49816,0.12733,0.82936,3.37866,24,0.1,0.1
Snap Star (shot wrmp),1,200,14.48178,2.46555,0.12252,0.82608,3.13706,25,0.1,0.1
Snap Star (new wrmp),1,200,14.48347,2.52444,0.1329,0.82606,3.92415,25,0.1,0.1
Snap Ensemble,1,200,14.78231,2.38015,0.11513,0.82247,2.21009,19,0.0,0.1
Snap Star (shot wrmp),1,200,15.76909,2.48585,0.11761,0.81062,2.30594,23,0.0,0.1
Snap Star (new wrmp),1,200,15.00233,2.4167,0.11533,0.81983,2.4545,22,0.0,0.1
Snap Ensemble,5,150,13.53069,2.48069,0.13041,0.8375,3.42192,46,0.1,0.1
Snap Star (shot wrmp),5,150,12.77881,2.33797,0.11938,0.84653,1.49062,57,0.1,0.1
Snap Star (new wrmp),5,150,13.39865,2.3548,0.11922,0.83909,2.33336,50,0.1,0.1
Snap Ensemble,5,150,11.85137,2.2747,0.11294,0.85767,1.58048,39,0.0,0.1
