Name,d,accuracy,entropy,TIME
Snap Star (shot wrmp),3,0.905±0.003,0.291±0.002,682.333
Snap Star (new wrmp),3,0.905±0.003,0.288±0.003,627.667
Snap Ensemble,3,0.906±0.001,0.267±0.002,547.667
Ensemble,3,0.906±0.003,0.260±0.003,546.0
Classic Star (no wrmp),3,0.906±0.004,0.259±0.009,679.0
Classic Star (new wrmp),3,0.907±0.002,0.255±0.003,571.667
Big NN,3,0.904±0.001,0.273±0.004,429.0
Snap Star (shot wrmp),2,0.902±0.005,0.280±0.012,500.667
Snap Star (new wrmp),2,0.900±0.005,0.278±0.012,463.667
Snap Ensemble,2,0.902±0.006,0.273±0.013,410.0
Ensemble,2,0.902±0.002,0.268±0.007,409.667
Classic Star (no wrmp),2,0.905±0.003,0.265±0.007,498.333
Classic Star (new wrmp),2,0.905±0.002,0.262±0.005,408.667
Big NN,2,0.897±0.002,0.288±0.004,332.667
Snap Star (shot wrmp),1,0.899±0.001,0.289±0.003,320.333
Snap Star (new wrmp),1,0.899±0.002,0.280±0.009,301.667
Snap Ensemble,1,0.897±0.002,0.287±0.004,273.667
Ensemble,1,0.899±0.001,0.276±0.010,273.333
Classic Star (no wrmp),1,0.904±0.003,0.270±0.008,319.667
Classic Star (new wrmp),1,0.905±0.003,0.263±0.006,247.0
Big NN,1,0.897±0.005,0.286±0.010,235.667
