Name,d,epochs,accuracy,entropy,TIME,p,lr
Classic Star (new wrmp),3,10,0.9086,0.25392985343933105,573,0.0,0.001
Classic Star (no wrmp),3,10,0.9013,0.26979267597198486,679,0.0,0.001
Big NN,3,10,0.9053,0.2759477198123932,429,0.0,0.001
Ensemble,3,10,0.9051,0.25974152198541484,547,0.0,0.001
Snap Ensemble,3,10,0.9051,0.2683596198718989,548,0.0,0.001
Snap Star (shot wrmp),3,10,0.9017,0.2927643954753876,684,0.0,0.001
Snap Star (new wrmp),3,10,0.9021,0.29071786999702454,629,0.0,0.001
Classic Star (new wrmp),2,10,0.9066,0.2571474015712738,409,0.0,0.001
Classic Star (no wrmp),2,10,0.9064,0.25983792543411255,498,0.0,0.001
Big NN,2,10,0.8961,0.28780630230903625,333,0.0,0.001
Ensemble,2,10,0.9003,0.2746441388463854,410,0.0,0.001
Snap Ensemble,2,10,0.8951,0.2873389674236262,410,0.0,0.001
Snap Star (shot wrmp),2,10,0.8966,0.29466497898101807,501,0.0,0.001
Snap Star (new wrmp),2,10,0.8944,0.2916531264781952,463,0.0,0.001
Classic Star (new wrmp),1,10,0.9031,0.263395220041275,247,0.0,0.001
Classic Star (no wrmp),1,10,0.9023,0.26705121994018555,319,0.0,0.001
Big NN,1,10,0.9021,0.27940452098846436,236,0.0,0.001
Ensemble,1,10,0.8985,0.2716242916701581,274,0.0,0.001
Snap Ensemble,1,10,0.8962,0.2885609174412162,274,0.0,0.001
Snap Star (shot wrmp),1,10,0.8986,0.29172104597091675,320,0.0,0.001
Snap Star (new wrmp),1,10,0.8964,0.28864428400993347,301,0.0,0.001
Classic Star (new wrmp),3,5,0.8898,0.30175331234931946,286,0.0,0.001
Classic Star (no wrmp),3,5,0.8902,0.3058927655220032,340,0.0,0.001
Big NN,3,5,0.8975,0.288532018661499,215,0.0,0.001
Ensemble,3,5,0.8879,0.30486098770855236,273,0.0,0.001
Snap Ensemble,3,5,0.8999,0.28229262895049134,273,0.0,0.001
Snap Star (shot wrmp),3,5,0.9016,0.274910569190979,341,0.0,0.001
Snap Star (new wrmp),3,5,0.8998,0.2763414680957794,314,0.0,0.001
Classic Star (new wrmp),2,5,0.8919,0.30262264609336853,205,0.0,0.001
Classic Star (no wrmp),2,5,0.8889,0.3084571659564972,251,0.0,0.001
Big NN,2,5,0.891,0.30719006061553955,166,0.0,0.001
Ensemble,2,5,0.8893,0.3039237730060289,205,0.0,0.001
Snap Ensemble,2,5,0.8845,0.3258642872862544,204,0.0,0.001
Snap Star (shot wrmp),2,5,0.8861,0.3173300325870514,250,0.0,0.001
Snap Star (new wrmp),2,5,0.8904,0.3003140985965729,231,0.0,0.001
Classic Star (new wrmp),1,5,0.8883,0.3070337772369385,123,0.0,0.001
Classic Star (no wrmp),1,5,0.8891,0.31074827909469604,159,0.0,0.001
Big NN,1,5,0.885,0.31954941153526306,118,0.0,0.001
Ensemble,1,5,0.8886,0.31057839255782493,137,0.0,0.001
Snap Ensemble,1,5,0.8908,0.2996945402306237,136,0.0,0.001
Snap Star (shot wrmp),1,5,0.893,0.2982403635978699,160,0.0,0.001
Snap Star (new wrmp),1,5,0.8859,0.3119129538536072,150,0.0,0.001
Classic Star (new wrmp),3,10,0.9053,0.2589992880821228,571,0.0,0.001
Classic Star (no wrmp),3,10,0.908,0.2559898793697357,679,0.0,0.001
Big NN,3,10,0.9035,0.26872000098228455,429,0.0,0.001
Ensemble,3,10,0.9095,0.25789078790105935,546,0.0,0.001
Snap Ensemble,3,10,0.9069,0.26536117420359834,547,0.0,0.001
Snap Star (shot wrmp),3,10,0.9079,0.29214268922805786,681,0.0,0.001
