model,d,MSE,MAE,R2,TRAIN MSE,TIME (sec)
Snap Star (shot warm-up),5,76.31 ± 0.17,5.97,0.362,70.64,733
Classic Star (no warm-up),5,76.57 ± 0.15,6.07,0.36,73.62,783
Snap Star (new warm-up),5,76.21 ± 0.1,5.99,0.363,71.34,667
Snap Star (no warm-up),5,76.56 ± 0.17,6.04,0.36,71.83,642
Snap Ensemble,5,76.42 ± 0.11,6.02,0.361,70.03,543
Classic Star (new warm-up),5,76.06 ± 0.1,6.0,0.364,72.59,807
Big NN,5,77.04 ± 0.21,6.02,0.356,75.62,436
Ensemble,5,76.34 ± 0.07,6.05,0.361,72.05,711
Snap Star (shot warm-up),4,76.3 ± 0.12,5.99,0.362,71.04,632
Classic Star (no warm-up),4,76.51 ± 0.04,6.04,0.36,73.76,652
Ensemble,4,76.4 ± 0.08,6.05,0.361,72.08,593
Snap Ensemble,4,76.46 ± 0.12,6.02,0.36,70.37,452
Snap Star (new warm-up),4,76.14 ± 0.11,6.01,0.363,71.78,565
Classic Star (new warm-up),4,76.01 ± 0.1,6.01,0.364,72.69,676
Snap Star (no warm-up),4,76.66 ± 0.2,6.02,0.359,72.42,542
Big NN,4,77.06 ± 0.18,6.03,0.355,75.63,375
Snap Star (shot warm-up),3,76.39 ± 0.32,5.98,0.361,71.62,530
Snap Ensemble,3,76.53 ± 0.14,6.02,0.36,70.77,362
Classic Star (no warm-up),3,76.51 ± 0.12,6.04,0.36,74.0,522
Ensemble,3,76.43 ± 0.09,6.05,0.361,72.12,473
Snap Star (no warm-up),3,76.64 ± 0.11,6.05,0.359,73.24,439
Big NN,3,76.8 ± 0.23,6.03,0.358,75.6,315
Snap Star (new warm-up),3,76.1 ± 0.07,6.0,0.363,72.38,463
Classic Star (new warm-up),3,76.16 ± 0.13,6.01,0.363,72.81,546
Snap Star (no warm-up),2,76.8 ± 0.1,6.05,0.358,74.33,337
Ensemble,2,76.48 ± 0.08,6.05,0.36,72.17,355
Snap Star (shot warm-up),2,76.34 ± 0.15,5.99,0.361,72.36,427
Snap Star (new warm-up),2,76.3 ± 0.24,6.01,0.362,73.1,360
Classic Star (no warm-up),2,76.56 ± 0.18,6.06,0.36,74.44,392
Big NN,2,77.08 ± 0.14,6.06,0.355,75.72,254
Classic Star (new warm-up),2,76.24 ± 0.12,6.0,0.362,73.13,416
Snap Ensemble,2,76.64 ± 0.15,6.02,0.359,71.3,272
Snap Star (no warm-up),1,77.06 ± 0.09,6.06,0.355,76.07,233
Snap Ensemble,1,76.86 ± 0.19,6.03,0.357,72.0,181
Ensemble,1,76.63 ± 0.06,6.07,0.359,72.27,237
Snap Star (new warm-up),1,76.5 ± 0.14,6.02,0.36,73.89,257
Big NN,1,76.98 ± 0.14,6.07,0.356,75.94,194
Classic Star (new warm-up),1,76.4 ± 0.12,6.02,0.361,73.84,285
Snap Star (shot warm-up),1,76.49 ± 0.08,6.0,0.36,73.61,324
Classic Star (no warm-up),1,76.76 ± 0.08,6.05,0.358,75.66,261
Big NN,0,77.19 ± 0.19,6.08,0.354,76.95,118
Snap Ensemble,0,76.78 ± 0.27,6.03,0.358,75.13,181
